,actor,character,status
0,Ana,Mara, Protagonista
1,Lourenço,Luís, Protagonista
2,Alexandra,Pilar, Antagonista
3,Rita,Luena, Antagonista
4,Ângelo,Norberto, Antagonista
5,José,Jorge, Regular
6,Paulo,Henrique, Regular
7,Paula,Concha, Regular
8,Nuno,Albino, Regular
9,Mina,Neuza, Regular
10,Marta,Rafaela, Regular
11,Sílvia,Isabel, Regular
12,João,Ramiro, Regular
13,Alberto,Arsénio, Regular
14,Matilde,Maria, Regular
15,Sofia,Yolanda, Regular
16,Kelly,Francisca, Regular
17,Bruno,Santiago, Regular
18,Sara,Daniela, Regular
19,Ana,Clara, Regular
20,Ricardo,Bruno, Regular
21,Gany,Kizua, Regular
22,Leonor,Sílvia, Regular
23,Pedro,Pedro, Regular
24,Inês,Mafalda, Regular
25,Lia,Berta, Regular
26,Leandro,Artur, Regular
27,Joana,Sara, Regular
28,Graciano,Diogo, Regular
29,Maria,Ana, Regular
30,André,Orlando, Regular
31,Orlando,Sebastião, Regular
32,Catarina,Isaura, Regular
33,Irma,Patrícia, Regular
34,Manuel,Inspetor, Recorrente
35,Pedro,António, Recorrente
36,Joana,Tânia, Recorrente
37,João,Radu, Recorrente
38,Pedro,Rodrigo, Recorrente
39,Maura,Vita, Participação
40,Rita,Inspetora, Recorrente
41,Rita,Rosário, Recorrente
42,Alfredo,Raúl, Recorrente
43,Fredy,Leandro, 
44,Lídia,Guilhermina, 
45,Pêpê,Dr., 
46,Soraia,Soraia, 
47,Igor,Telmo, 
48,Marta,Leila, 
49,Pedro,Carlos, 
50,Miguel,Tomé, 
51,Jorge,Afonso, 
52,Pedro,João, 
53,Tomás,Rui, 
54,Nuno,Xavier, 
55,Marina,Julieta, 
56,Karla,Selma, 
57,Nuno,Rolando, 
58,Ricardo,Xico, 
59,Sofia,Graça, 
60,João,Guilherme, 
61,Mafalda,Valéria, 
62,Laurent,Bill, 
63,Rita,Carmo, 
64,Susana,Benedita, 
65,Joana,Filipa, 
66,Guida,Amélia, 
67,Carlos,Nuno, 
68,José,Cabé, 
69,Luís,Jeremy, 
70,Heidi,Leonor, 
